id,genre,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
4Gc2XKO9iqAGSaQqeG8TUk,black-metal,1.05e-05,0.0647,283000,0.804,0.00773,10,0.103,-5.073,0,0.066,197.114,3,0.125
1zkGkQ3z8Hv7HMwINGg19B,black-metal,1.07e-06,0.22,175293,0.984,0.933,9,0.0544,-4.698,0,0.113,184.908,4,0.112
1NNYM7iLqqOrCyTRRb8czr,black-metal,0.00021,0.357,279200,0.995,2.62e-06,11,0.0689,-3.088,0,0.228,195.136,4,0.0693
68pITGplBouWblOT1iIxw8,black-metal,4.65e-05,0.354,173827,0.928,0.557,8,0.226,-6.514,1,0.058,88.897,4,0.433
4INWcICis1PBVUaIxvdJOv,black-metal,0.00135,0.251,400933,0.854,0.00632,0,0.118,-3.597,1,0.053,160.045,4,0.0362
5fTbve7U5ABE7JxiNFFppz,black-metal,0.00244,0.0996,410800,0.959,0.417,3,0.361,-3.741,1,0.104,89.601,4,0.145
47zBz6AARAvli4ai6eROFo,black-metal,5.09e-05,0.33,475207,0.995,0.894,9,0.346,-5.928,1,0.0742,84.988,4,0.0369
0hQCyed9aOlCuSaULdAnV5,black-metal,0.000128,0.176,288933,0.917,0.591,7,0.118,-4.415,1,0.0542,91.07,4,0.187
1NDRwz83AmVyFW1fMOQUdj,black-metal,0.0431,0.059,470853,0.934,0.818,6,0.103,-6.211,1,0.122,55.301,4,0.0302
7jHww19rqCiB5KaMBoOOiC,black-metal,0.001,0.448,248027,0.437,0.509,11,0.47,-6.587,0,0.0379,137.098,4,0.142
6N7zCWNxGXUvEbqQD2C4ne,black-metal,0,0.141,413787,0.904,0.768,2,0.287,-9.036,1,0.0732,140.267,4,0.0347
0nOWleJUfuLLzSnopwW5vX,black-metal,0.000136,0.146,468053,0.981,0.903,6,0.365,-7.668,0,0.157,154.978,4,0.0611
5RuERtN9lXh26bncououTM,black-metal,0.000117,0.315,260520,0.991,0.00261,4,0.916,-4.58,1,0.111,75.589,4,0.112
5HNGM8wAcBx9S7NRU3HLz7,black-metal,3.43e-06,0.46,455547,0.975,0.639,2,0.309,-4.377,1,0.0588,96.487,4,0.242
2kQtpKEoakAAtMdUNm4mMZ,black-metal,3.2e-06,0.175,250507,0.97,0.674,10,0.196,-4.854,0,0.147,123.855,4,0.0404
